"feature","frequency"
"the",1589102
"to",919719
"and",807289
"a",792226
"of",669015
"in",549607
"i",548725
"for",366084
"is",358592
"that",348730
"you",312997
"it",305301
"on",272871
"with",238070
"was",207808
"my",201508
"at",190434
"be",182673
"this",181432
"have",176729
"are",164022
"but",161598
"as",160123
"he",143858
"we",139890
"not",137345
"from",128471
"so",127122
"me",121673
"all",110760
"they",107059
"will",105738
"or",104745
"by",104193
"said",101579
"just",101493
"your",100847
"his",100283
"an",99792
"about",99410
"out",98531
"one",96868
"up",96675
"if",93095
"what",92725
"like",89745
"when",88610
"has",86943
"who",83708
"can",82059
"more",81513
"do",80498
"had",77845
"it's",76811
"get",75842
"i'm",71342
"time",71147
"there",70521
"her",69633
"their",68322
"would",68231
"some",67166
"she",65819
"no",65701
"new",64675
"been",62461
"our",62183
"now",60096
"were",59490
"good",58820
"how",58432
"day",55869
"know",54373
"them",54135
"don't",53998
"people",53288
"love",52396
"which",47851
"back",47216
"than",46928
"see",46458
"go",45392
"first",44834
"into",44451
"after",44195
"also",43324
"make",43291
"think",42682
"its",42659
"only",42568
"going",42464
"other",42353
"last",41563
"over",41519
"great",41395
"then",41371
"because",40634
"him",40352
"us",40012
"much",39941
"too",38250
"two",38116
"really",37722
"year",37583
"way",37512
"could",37491
"today",36727
"well",36420
"got",36014
"even",35943
"want",35702
"work",34882
"did",34817
"still",34248
"right",33932
"off",32606
"where",32542
"here",32472
"thanks",32425
"need",32317
"am",31695
"very",31627
"any",31150
"most",31137
"years",31121
"before",29999
"rt",29854
"life",29707
"those",29674
"many",29579
"down",29453
"say",28952
"take",28782
"should",28666
"being",28467
"made",28185
"come",28021
"these",27961
"little",27393
"that's",27346
"never",27223
"home",26982
"may",26582
"through",26160
"best",26154
"while",25996
"next",25743
"can't",25726
"week",25547
"night",25338
"why",25204
"things",24915
"u",24834
"school",24185
"something",24083
"lol",23681
"game",23412
"always",22721
"better",22580
"happy",22367
"around",22248
"another",22191
"every",22001
"didn't",21952
"state",21690
"world",21506
"i've",21446
"look",21388
"show",21208
"you're",21120
"big",20497
"long",20480
"since",20083
"again",20077
"few",19871
"same",19490
"man",19452
"feel",19376
"city",19119
"thing",18949
"three",18907
"hope",18866
"such",18826
"help",18790
"sure",18747
"follow",18575
"use",18396
"find",18324
"own",18178
"lot",17835
"keep",17782
"getting",17706
"days",17665
"ever",17567
"does",17513
"says",17339
"both",17286
"house",17168
"place",17023
"team",16936
"put",16858
"each",16829
"tonight",16781
"until",16755
"part",16743
"family",16676
"give",16603
"let",16337
"looking",16263
"though",16249
"thank",16139
"doing",16128
"end",15808
"play",15707
"old",15610
"away",15440
"morning",15361
"i'll",15266
"used",15246
"might",15237
"everyone",15153
"start",14986
"thought",14977
"book",14963
"he's",14862
"free",14744
"during",14740
"high",14484
"went",14469
"season",14455
"done",14358
"left",14335
"friends",14163
"yes",14146
"without",14108
"someone",14049
"found",14044
"oh",13942
"please",13928
"fun",13927
"call",13919
"having",13895
"doesn't",13882
"tell",13870
"we're",13814
"money",13799
"told",13716
"against",13619
"enough",13554
"live",13531
"came",13433
"bad",13267
"yet",13247
"hard",13203
"between",13176
"making",13174
"times",13118
"already",13020
"pretty",13018
"real",12835
"music",12723
"working",12684
"wait",12648
"try",12602
"percent",12587
"million",12583
"set",12517
"coming",12469
"food",12455
"trying",12439
"job",12416
"read",12409
"must",12390
"once",12322
"makes",12188
"took",12187
"second",12159
"there's",12156
"called",12041
"run",11930
"weekend",11906
"point",11883
"story",11808
"under",11726
"actually",11723
"everything",11720
"public",11715
"top",11684
"nice",11676
"different",11584
"s",11568
"soon",11564
"tomorrow",11499
"business",11496
"least",11438
"nothing",11413
"stop",11400
"friday",11397
"police",11357
"far",11347
"anything",11337
"maybe",11275
"twitter",11198
"open",11191
"kids",11182
"county",11144
"head",11128
"win",11074
"started",10980
"together",10971
"name",10925
"room",10882
"four",10869
"later",10785
"person",10734
"believe",10731
"early",10630
"check",10627
"guys",10530
"ago",10505
"anyone",10498
"wanted",10484
"bit",10470
"change",10444
"past",10422
"children",10376
"small",10335
"kind",10242
"talk",10189
"care",10182
"course",10146
"company",10130
"girl",10110
"white",10102
"awesome",10040
"including",10009
"myself",9960
"water",9958
"less",9927
"group",9925
"im",9921
"party",9906
